startsum_low,startsum_high,age_low,age_high,distance,starttype,gender,applicants,addition,first_price,good_prop,id,starting_total,starting_women
95001,240000,3,12,1640,2,1,12,0,30000,1,314,11,1
12500,280000,3,12,2640,2,0,8,0,30000,0,315,7,1
0,12000000,0,12,2140,1,0,9,0,0,0,316,9,1
0,12000000,2,12,2140,1,0,0,0,0,0,317,0,0
0,12000000,4,12,2140,1,0,1,0,0,0,318,1,0
0,49000,3,3,2140,1,0,7,0,60000,0,319,7,0
0,100000,3,3,2140,1,1,8,0,60000,0,320,7,1
0,132000,3,12,2140,0,0,10,1,30000,0,321,10,1
50001,185000,3,12,2140,2,0,17,0,30000,1,322,12,3
132001,460000,3,12,2140,2,0,14,0,30000,1,323,12,3
300001,910000,3,12,2140,2,1,7,0,30000,0,324,7,1
0,12000000,3,12,2140,0,0,12,1,30000,1,325,12,3
50001,12000000,4,4,1640,2,0,7,0,30000,0,326,6,1
100001,555000,4,12,1640,2,0,9,0,30000,0,327,9,0
0,12000000,0,12,2140,1,0,3,0,0,0,328,3,1
0,12000000,2,2,2140,1,0,2,0,0,0,329,2,1
0,12000000,4,12,2140,1,0,1,0,0,0,330,1,0
0,7500,3,12,2140,1,0,11,0,30000,1,331,11,2
0,25000,3,3,2140,1,1,12,0,60000,1,332,12,2
0,37500,3,3,2140,1,0,9,0,30000,0,333,9,2
0,70000,3,12,1640,2,0,15,0,30000,1,334,12,3
70001,150000,3,12,2640,1,0,10,0,30000,0,335,10,2
150001,275000,3,12,2140,2,0,10,0,30000,0,336,10,1
100001,445000,3,12,1640,2,1,9,0,30000,0,337,9,2
0,12000000,0,12,2140,1,0,11,0,0,1,338,11,6
0,12000000,2,12,2140,1,0,2,0,0,0,339,2,2
0,18000,3,12,2140,1,0,11,0,30000,1,340,11,2
0,51000,3,12,2140,2,0,11,0,30000,1,341,11,2
0,75000,3,3,2140,1,0,9,0,60000,0,342,9,2
0,410000,3,12,2140,0,0,11,1,30000,1,343,11,2
0,1100000,3,12,3140,0,0,8,1,30000,0,344,8,0
0,12000000,3,12,2140,1,0,12,1,30000,1,345,11,3
0,12000000,0,12,2140,1,0,10,0,0,0,346,10,0
0,12000000,2,2,2140,1,0,2,0,0,0,347,2,2
0,12000000,4,12,2140,1,0,0,0,0,0,348,0,0
0,12000,3,12,2140,1,0,8,0,30000,0,349,8,2
0,49000,3,3,2140,1,1,8,0,60000,0,350,8,0
40001,115000,3,12,2140,2,0,14,0,30000,1,351,12,2
0,150000,3,12,2140,0,0,11,1,30000,1,352,11,3
0,12000000,3,12,2140,0,0,10,1,30000,0,353,10,2
0,12000000,4,12,2140,0,0,9,1,30000,0,354,9,1
0,12000000,0,12,2140,1,0,3,0,0,0,355,3,0
0,12000000,2,12,2140,1,0,2,0,0,0,356,2,0
0,12000000,4,12,2140,1,0,1,0,0,0,357,1,0
0,12000000,3,3,1640,2,0,7,0,100000,0,358,7,1
500001,12000000,3,12,1609,2,0,6,0,75000,0,359,6,0
