startsumma,häst,startpoäng,ålder,kön,tränare,tränarkön,tjänat_innev_år,proffs_amatör,id
721400,Beluga West,739,7,s,Untersteiner Peter (Hd),0,36900,1,255
719960,D'Laina,40,8,s,Svensson Susanne (J),1,3500,0,256
717500,Four Guys Dream,1875,5,v,Persson Håkan K (Hd),0,0,1,257
717200,Mr Crazed,723,10,v,Svanstedt Anders (Ax),0,44800,1,258
715200,Tony Afrika,840,6,v,Kolgjini Adrian (J),0,36000,1,259
708700,Flash Teemer,413,9,v,Zerne Isabella (Ax),1,73800,0,260
708134,Fighter Kiss* (FR),3505,6,v,Malmqvist Tomas (J),0,255635,1,261
707148,Champion Melon,378,9,v,Bergström Ulf (J),0,500,0,262
704950,Micro Vick,220,9,s,Holmquist Emma (Kr),1,14000,0,263
702200,Upstate Face,3485,5,v,Kolgjini Adrian (J),0,168500,1,264
700800,Tournado Dream,410,8,v,Ljunggren Leif (Å),0,26000,0,265
700400,Top Yllit,215,10,v,Kjellén Mats (Ax),0,0,0,266
699900,Velasquez Gar (IT),100,7,v,Oscarsson Jim (Kr),0,0,1,267
695800,Love Håleryd,535,6,v,Untersteiner Peter (Hd),0,93500,1,268
690736,Salma Silvio,194,9,s,Persson Fredrik (Kr),0,0,1,269
687500,Upper Face,2600,5,v,Kolgjini Adrian (J),0,80000,1,270
685560,Gambit Brodde,714,6,v,Lugauer Conrad (J),0,41400,1,271
685500,Head Run,6680,4,v,Bergh Robert (Å),0,0,1,272
684750,Eagle Shot,102,10,v,Olsson Per-Ola (J),0,1000,0,273
683500,Arnie Express,1235,5,v,Lugauer Conrad (J),0,500,1,274
679000,Quick Lane,615,5,h,Untersteiner Johan (Hd),0,36000,1,275
677000,Veiled,2290,7,s,Dahlén Magnus (Hd),0,151500,1,276
674958,MTNordic Spirit,598,6,v,Untersteiner Peter (Hd),0,19300,1,277
674600,Gullabo Däck Bling,1395,8,v,Knutsson Kent (Vg),0,39500,1,278
671600,Lunatic Face,140,13,v,Aurell Laursen Katarina (Ax),1,7500,1,279
670600,Crossfire Simoni,895,7,v,Falsig Bo (Å),0,45500,1,280
670224,Oxidizer (DE),4084,6,v,Persson David (Ax),0,307500,1,281
669800,Imagine Boko,1970,6,v,Bergh Robert (Å),0,4500,1,282
669700,Victory Topline,556,7,v,Bergh Robert (Å),0,0,1,283
669200,Sunday Sonata,645,6,s,Lejon Johan (J),0,33000,1,284
668683,Oscar LA,5244,5,h,Lövgren Joakim (J),0,0,1,285
667052,Vulcano OP (IT),1915,7,v,Bergh Robert (Å),0,0,1,286
667050,Dalforno,212,8,v,Elfstrand Olle (Å),0,8000,1,287
665500,Uncle Töll,4395,5,v,Eklundh André (Å),0,0,1,288
664700,Vien Ici (IT),930,7,v,Stenströmer Ulf (Ax),0,27500,1,289
657750,Echelon,1254,6,v,Riordan Jerry (Hd),0,77900,1,290
657439,Harmon Boko,85,7,v,Fyhr Linda (Hd),1,500,0,291
656100,Sato,488,6,v,Johansson Håkan E (Å),0,28800,0,292
654750,Vikens Dome,2355,7,v,Bergh Robert (Å),0,0,1,293
653135,Ritz Guiness,530,9,s,Johansson Emma E (Kr),1,6500,0,294
652814,Taxi Out,2695,5,v,Karlsson Ola (J),0,207000,1,295
651900,Divane Godiva,2000,5,s,Lövgren Joakim (J),0,136000,1,296
649574,Stand by Ken,636,6,v,Untersteiner Johan (Hd),0,33600,1,297
649000,Arapaho Ghostdance,114,7,v,Kolgjini Adrian (J),0,6900,1,298
648500,Galantis,785,5,h,Lejon Johan (J),0,48500,1,299
647000,Il Duce Boko,1265,6,h,Lugauer Conrad (J),0,12500,1,300
646550,Elof Palema,453,9,v,Anderberg Henrik (J),0,47800,0,301
